id,medicament_id,forme,dosage
80,14,EZETIMIBE/SIMVASTATINE TEVA 10 mg/20 mg Cpr Fl/90 | Cip : 3400930130919 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Supprimé,10 mg/20 mg Cpr Fl/90
81,15,comprimé (brun clair) ; boîte de 30,10 mg/20 mg
82,15,comprimé (brun clair) ; boîte de 90,10 mg/20 mg
83,15,comprimé (brun clair) ; boîte de 30,10 mg/40 mg
84,15,comprimé (brun clair) ; boîte de 90,10 mg/40 mg
85,15,EZETIMIBE/SIMVASTATINE ALTER 10 mg/40 mg Cpr Plq/30 | Cip : 3400930164303 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Supprimé,10 mg/40 mg Cpr Plq/30
86,15,EZETIMIBE/SIMVASTATINE ALTER 10 mg/40 mg Cpr Plq/90 | Cip : 3400930164310 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Supprimé,10 mg/40 mg Cpr Plq/90
87,15,EZETIMIBE/SIMVASTATINE ALTER 10 mg/20 mg Cpr Plq/30 | Cip : 3400930164365 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Supprimé,10 mg/20 mg Cpr Plq/30
88,15,EZETIMIBE/SIMVASTATINE ALTER 10 mg/20 mg Cpr Plq/90 | Cip : 3400930164372 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Supprimé,10 mg/20 mg Cpr Plq/90
89,16,comprimé (rose clair) ; boîte de 30,10 mg/20 mg
90,16,comprimé (rose clair) ; boîte de 90,10 mg/20 mg
91,16,comprimé (blanc ; boîte de 30,10 mg/40 mg
92,16,comprimé (blanc) ; boîte de 90,10 mg/40 mg
93,16,"EZETIMIBE/SIMVASTATINE ARROW 10 mg/40 mg Cpr Plq/30 | Cip : 3400930176702 ; Modalités de conservation : Avant ouverture : durant 36 mois (Conserver à l'abri de la lumière, Conserver à l'abri de l'humidité, Conserver dans son emballage) | Statut: Commercialisé",10 mg/40 mg Cpr Plq/30
94,16,"EZETIMIBE/SIMVASTATINE ARROW 10 mg/40 mg Cpr Plq/90 | Cip : 3400930176719 ; Modalités de conservation : Avant ouverture : durant 36 mois (Conserver à l'abri de la lumière, Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Commercialisé",10 mg/40 mg Cpr Plq/90
95,16,"EZETIMIBE/SIMVASTATINE ARROW 10 mg/20 mg Cpr Plq/30 | Cip : 3400930176665 ; Modalités de conservation : Avant ouverture : durant 36 mois (Conserver à l'abri de la lumière, Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Commercialisé",10 mg/20 mg Cpr Plq/30
96,16,"EZETIMIBE/SIMVASTATINE ARROW 10 mg/20 mg Cpr Plq/90 | Cip : 3400930176689 ; Modalités de conservation : Avant ouverture : durant 36 mois (Conserver à l'abri de la lumière, Conserver à l'abri de l'humidité, Conserver dans son emballage) | Statut: Commercialisé",10 mg/20 mg Cpr Plq/90
97,17,comprimé (brun clair) ; boîte de 30,10 mg/20 mg
98,17,comprimé (brun clair) ; boîte de 90,10 mg/20 mg
99,17,comprimé (brun clair) ; boîte de 30,10 mg/40 mg
100,17,comprimé (brun clair) ; boîte de 90,10 mg/40 mg
