id,medicament_id,frequence,effet
79701,5678,"Peu fréquents (0,1 à 1 % des personnes)",pancréatite
79702,5678,"Peu fréquents (0,1 à 1 % des personnes)",élévation des transaminases.
79703,5678,"Rares (moins de 0,1 % des personnes)",anomalie de la numération formule sanguine
79704,5678,"Rares (moins de 0,1 % des personnes)",agranulocytose
79705,5678,"Rares (moins de 0,1 % des personnes)",tremblements
79706,5678,"Rares (moins de 0,1 % des personnes)",bourdonnement d'oreilles.
79707,5679,Fréquents (1 à 10 % des personnes),toux sèche persistante
79708,5679,Fréquents (1 à 10 % des personnes),sinusite
79709,5679,Fréquents (1 à 10 % des personnes),essoufflement
79710,5679,Fréquents (1 à 10 % des personnes),baisse excessive de la tension artérielle (voir Attention)
79711,5679,Fréquents (1 à 10 % des personnes),hypotension orthostatique
79712,5679,Fréquents (1 à 10 % des personnes),nausées
79713,5679,Fréquents (1 à 10 % des personnes),vomissements
79714,5679,Fréquents (1 à 10 % des personnes),diarrhée
79715,5679,Fréquents (1 à 10 % des personnes),douleurs digestives
79716,5679,Fréquents (1 à 10 % des personnes),maux de tête
79717,5679,Fréquents (1 à 10 % des personnes),étourdissement
79718,5679,Fréquents (1 à 10 % des personnes),fatigue
79719,5679,Fréquents (1 à 10 % des personnes),malaise
79720,5679,Fréquents (1 à 10 % des personnes),crampes
79721,5679,Fréquents (1 à 10 % des personnes),douleurs musculaires
79722,5679,Fréquents (1 à 10 % des personnes),élévation du taux de potassium dans le sang.
79723,5679,Réaction allergique,éruption cutanée
79724,5679,Réaction allergique,démangeaisons
79725,5679,Réaction allergique,œdème de Quincke.
79726,5679,"Peu fréquents (0,1 à 1 % des personnes)",palpitations
79727,5679,"Peu fréquents (0,1 à 1 % des personnes)",œdèmes
79728,5679,"Peu fréquents (0,1 à 1 % des personnes)",vertiges
79729,5679,"Peu fréquents (0,1 à 1 % des personnes)",fourmillements
79730,5679,"Peu fréquents (0,1 à 1 % des personnes)",perte ou modification du goût
79731,5679,"Peu fréquents (0,1 à 1 % des personnes)",anxiété
79732,5679,"Peu fréquents (0,1 à 1 % des personnes)",nervosité inhabituelle
79733,5679,"Peu fréquents (0,1 à 1 % des personnes)",humeur dépressive
79734,5679,"Peu fréquents (0,1 à 1 % des personnes)",somnolence
79735,5679,"Peu fréquents (0,1 à 1 % des personnes)",nez bouché
79736,5679,"Peu fréquents (0,1 à 1 % des personnes)",constipation
79737,5679,"Peu fréquents (0,1 à 1 % des personnes)",brûlures d'estomac
79738,5679,"Peu fréquents (0,1 à 1 % des personnes)",bouche sèche
79739,5679,"Peu fréquents (0,1 à 1 % des personnes)",perte d'appétit
79740,5679,"Peu fréquents (0,1 à 1 % des personnes)",bouffées de chaleur
79741,5679,"Peu fréquents (0,1 à 1 % des personnes)",transpiration excessive
79742,5679,"Peu fréquents (0,1 à 1 % des personnes)",vision trouble
79743,5679,"Peu fréquents (0,1 à 1 % des personnes)",douleurs articulaires
79744,5679,"Peu fréquents (0,1 à 1 % des personnes)",baisse de la libido
79745,5679,"Peu fréquents (0,1 à 1 % des personnes)",augmentation du volume des urines
79746,5679,"Peu fréquents (0,1 à 1 % des personnes)",pancréatite
79747,5679,"Peu fréquents (0,1 à 1 % des personnes)",élévation des transaminases.
79748,5679,"Rares (moins de 0,1 % des personnes)",anomalie de la numération formule sanguine
79749,5679,"Rares (moins de 0,1 % des personnes)",agranulocytose
79750,5679,"Rares (moins de 0,1 % des personnes)",tremblements
79751,5679,"Rares (moins de 0,1 % des personnes)",bourdonnement d'oreilles.
79752,5680,Rarement,eczéma de contact.
79753,5680,,Irritation en cas d'utilisation prolongée ou répétée.
79754,5680,,"Comme tout produit acide, ce médicament peut favoriser une mycose (candidose...)."
79755,5681,Fréquents (1 à 10 % des personnes),toux sèche persistante
79756,5681,Fréquents (1 à 10 % des personnes),sinusite
79757,5681,Fréquents (1 à 10 % des personnes),essoufflement
79758,5681,Fréquents (1 à 10 % des personnes),baisse excessive de la tension artérielle (voir Attention)
79759,5681,Fréquents (1 à 10 % des personnes),hypotension orthostatique
79760,5681,Fréquents (1 à 10 % des personnes),nausées
79761,5681,Fréquents (1 à 10 % des personnes),vomissements
79762,5681,Fréquents (1 à 10 % des personnes),diarrhée
79763,5681,Fréquents (1 à 10 % des personnes),douleurs digestives
79764,5681,Fréquents (1 à 10 % des personnes),maux de tête
79765,5681,Fréquents (1 à 10 % des personnes),étourdissement
79766,5681,Fréquents (1 à 10 % des personnes),fatigue
79767,5681,Fréquents (1 à 10 % des personnes),malaise
79768,5681,Fréquents (1 à 10 % des personnes),crampes
79769,5681,Fréquents (1 à 10 % des personnes),douleurs musculaires
79770,5681,Fréquents (1 à 10 % des personnes),élévation du taux de potassium dans le sang.
79771,5681,Réaction allergique,éruption cutanée
79772,5681,Réaction allergique,démangeaisons
79773,5681,Réaction allergique,œdème de Quincke.
79774,5681,"Peu fréquents (0,1 à 1 % des personnes)",palpitations
79775,5681,"Peu fréquents (0,1 à 1 % des personnes)",œdèmes
79776,5681,"Peu fréquents (0,1 à 1 % des personnes)",vertiges
79777,5681,"Peu fréquents (0,1 à 1 % des personnes)",fourmillements
79778,5681,"Peu fréquents (0,1 à 1 % des personnes)",perte ou modification du goût
79779,5681,"Peu fréquents (0,1 à 1 % des personnes)",anxiété
79780,5681,"Peu fréquents (0,1 à 1 % des personnes)",nervosité inhabituelle
79781,5681,"Peu fréquents (0,1 à 1 % des personnes)",humeur dépressive
79782,5681,"Peu fréquents (0,1 à 1 % des personnes)",somnolence
79783,5681,"Peu fréquents (0,1 à 1 % des personnes)",nez bouché
79784,5681,"Peu fréquents (0,1 à 1 % des personnes)",constipation
79785,5681,"Peu fréquents (0,1 à 1 % des personnes)",brûlures d'estomac
79786,5681,"Peu fréquents (0,1 à 1 % des personnes)",bouche sèche
79787,5681,"Peu fréquents (0,1 à 1 % des personnes)",perte d'appétit
79788,5681,"Peu fréquents (0,1 à 1 % des personnes)",bouffées de chaleur
79789,5681,"Peu fréquents (0,1 à 1 % des personnes)",transpiration excessive
79790,5681,"Peu fréquents (0,1 à 1 % des personnes)",vision trouble
79791,5681,"Peu fréquents (0,1 à 1 % des personnes)",douleurs articulaires
79792,5681,"Peu fréquents (0,1 à 1 % des personnes)",baisse de la libido
79793,5681,"Peu fréquents (0,1 à 1 % des personnes)",augmentation du volume des urines
79794,5681,"Peu fréquents (0,1 à 1 % des personnes)",pancréatite
79795,5681,"Peu fréquents (0,1 à 1 % des personnes)",élévation des transaminases.
79796,5681,"Rares (moins de 0,1 % des personnes)",anomalie de la numération formule sanguine
79797,5681,"Rares (moins de 0,1 % des personnes)",agranulocytose
79798,5681,"Rares (moins de 0,1 % des personnes)",tremblements
79799,5681,"Rares (moins de 0,1 % des personnes)",bourdonnement d'oreilles.
79800,5682,Fréquents (1 à 10 % des personnes),toux sèche persistante
79801,5682,Fréquents (1 à 10 % des personnes),sinusite
79802,5682,Fréquents (1 à 10 % des personnes),essoufflement
79803,5682,Fréquents (1 à 10 % des personnes),baisse excessive de la tension artérielle (voir Attention)
79804,5682,Fréquents (1 à 10 % des personnes),hypotension orthostatique
79805,5682,Fréquents (1 à 10 % des personnes),nausées
79806,5682,Fréquents (1 à 10 % des personnes),vomissements
79807,5682,Fréquents (1 à 10 % des personnes),diarrhée
79808,5682,Fréquents (1 à 10 % des personnes),douleurs digestives
79809,5682,Fréquents (1 à 10 % des personnes),maux de tête
79810,5682,Fréquents (1 à 10 % des personnes),étourdissement
