id,medicament_id,nom_substance
8025,3492,acarbose
8026,3493,glucose monohydrate
8027,3494,glucose monohydrate
8028,3495,glucose monohydrate
8029,3496,calcium gluconate
8030,3496,calcium gluceptate
8031,3497,calcium gluconate
8032,3497,calcium gluceptate
8033,3498,calcium gluconate
8034,3499,Chlorhexidine digluconate
8035,3499,chlorhexidine gluconate solution
8036,3500,Metformine chlorhydrate
8037,3500,metformine chlorhydrate
8038,3501,Antimoniate de méglumine
8039,3501,méglumine antimoniate
8040,3502,Glucagon humain
8041,3502,glucagon chlorhydrate
8042,3503,Imatinib
8043,3503,imatinib mésilate
8044,3504,sodium chlorure
8045,3504,potassium chlorure
8046,3504,glucose monohydrate
8047,3505,acide 5-aminolévulinique chlorhydrate
8048,3506,Metformine chlorhydrate
8049,3506,metformine chlorhydrate
8050,3507,Glipizide
8051,3507,glipizide
8052,3508,Glimépiride
8053,3508,glimépiride
8054,3509,Glimépiride
8055,3509,glimépiride
8056,3510,Glimépiride
8057,3510,glimépiride
8058,3511,Glimépiride
8059,3511,glimépiride
8060,3512,Glimépiride
8061,3512,glimépiride
8062,3513,Glimépiride
8063,3513,glimépiride
8064,3514,Glimépiride
8065,3514,glimépiride
8066,3515,Gliclazide
8067,3515,gliclazide
8068,3516,Glimépiride
8069,3516,glimépiride
8070,3517,Glimépiride
8071,3517,glimépiride
8072,3518,Glimépiride
8073,3518,glimépiride
8074,3519,Glimépiride
8075,3519,glimépiride
8076,3520,Gliclazide
8077,3520,gliclazide
8078,3521,Gliclazide
8079,3521,gliclazide
8080,3522,Gliclazide
8081,3522,gliclazide
8082,3523,Gliclazide
8083,3523,gliclazide
8084,3524,Gliclazide
8085,3524,gliclazide
8086,3525,Gliclazide
8087,3525,gliclazide
8088,3526,gliclazide
8089,3527,Gliclazide
8090,3527,gliclazide
8091,3528,Gliclazide
8092,3528,gliclazide
8093,3529,Gliclazide
8094,3529,gliclazide
8095,3530,Gliclazide
8096,3530,gliclazide
8097,3531,Gliclazide
8098,3531,gliclazide
8099,3532,Gliclazide
8100,3532,gliclazide
8101,3533,Gliclazide
8102,3533,gliclazide
8103,3534,Gliclazide
8104,3534,gliclazide
8105,3535,Gliclazide
8106,3535,gliclazide
8107,3536,Gliclazide
8108,3536,gliclazide
8109,3537,Glibenclamide
8110,3537,glibenclamide
8111,3538,Glibenclamide
8112,3538,glibenclamide
8113,3539,Glibenclamide
8114,3539,glibenclamide
8115,3540,Glibenclamide
8116,3540,glibenclamide
8117,3541,carmustine
8118,3542,Glibenclamide
8119,3542,glibenclamide
8120,3543,Glibenclamide
8121,3543,glibenclamide
8122,3544,givosiran sodique
8123,3546,Glatiramère acétate
8124,3546,glatiramère acétate
8125,3547,Afatinib
8126,3547,afatinib dimaléate
8127,3548,"Ginkgo biloba, extrait"
8128,3548,Heptaminol chlorhydrate
8129,3548,Troxérutine
8130,3548,ginkgo biloba extrait standardisé
8131,3548,troxérutine
8132,3548,heptaminol chlorhydrate
8133,3549,"Ginkgo biloba, extrait sec de feuille"
8134,3549,ginkgo biloba extrait sec de feuille
8135,3550,"Ginkgo biloba, extrait"
8136,3550,ginkgo biloba extrait sec de feuille
