id,medicament_id,description
287,111,enfant de moins de 16 ans ;
288,111,grossesse ;
289,111,allaitement.
290,112,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral...) ou veineux (phlébite, embolie pulmonaire...) ancien ou survenant au cours de la contraception ;"
291,112,"maladies augmentant le risque de thrombose (diabète avec lésions vasculaires, hypertension artérielle grave, excès important de lipides dans le sang) ;"
292,112,trouble connu de la coagulation sanguine (déficit en protéine C ou en protéine S...) ;
293,112,pancréatite associée à un excès important de triglycérides dans le sang ;
294,112,antécédent de migraine grave accompagnée de signes neurologiques (paralysie...) ;
295,112,cancer hormonodépendant ;
296,112,"maladie du foie, grave ou récente, y compris tumeur du foie ;"
297,112,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement) ;
298,112,"en association avec les produits contenant du millepertuis, du dasabuvir ou de l'ombitasvir/paritaprévir."
299,113,antécédent d'allergie ou d'asthme provoqué par la prise d'AINS y compris l'aspirine ;
300,113,ulcère de l'estomac en évolution ou saignement digestif ;
301,113,insuffisance hépatique ou insuffisance rénale grave ;
302,113,"maladie inflammatoire de l'intestin (maladie de Crohn, rectocolite hémorragique) ;"
303,113,insuffisance cardiaque grave ;
304,113,hypertension artérielle non contrôlée par un traitement ;
305,113,"maladie des artères coronaires (insuffisance coronarienne), artérite, antécédent d'accident vasculaire cérébral ;"
306,113,enfant de moins de 16 ans ;
307,113,grossesse ;
308,113,allaitement.
309,115,antécédent d'allergie ou d'asthme provoqué par la prise d'AINS y compris l'aspirine ;
310,115,ulcère de l'estomac en évolution ou saignement digestif ;
311,115,insuffisance hépatique ou insuffisance rénale grave ;
312,115,"maladie inflammatoire de l'intestin (maladie de Crohn, rectocolite hémorragique) ;"
313,115,insuffisance cardiaque grave ;
314,115,hypertension artérielle non contrôlée par un traitement ;
315,115,"maladie des artères coronaires (insuffisance coronarienne), artérite, antécédent d'accident vasculaire cérébral ;"
316,115,enfant de moins de 16 ans ;
317,115,grossesse ;
318,115,allaitement.
319,116,antécédent d'allergie ou d'asthme provoqué par la prise d'AINS y compris l'aspirine ;
320,116,ulcère de l'estomac en évolution ou saignement digestif ;
321,116,insuffisance hépatique ou insuffisance rénale grave ;
322,116,"maladie inflammatoire de l'intestin (maladie de Crohn, rectocolite hémorragique) ;"
323,116,insuffisance cardiaque grave ;
324,116,hypertension artérielle non contrôlée par un traitement ;
325,116,"maladie des artères coronaires (insuffisance coronarienne), artérite, antécédent d'accident vasculaire cérébral ;"
326,116,enfant de moins de 16 ans ;
327,116,grossesse ;
328,116,allaitement.
329,117,antécédent d'allergie ou d'asthme provoqué par la prise d'AINS y compris l'aspirine ;
330,117,ulcère de l'estomac en évolution ou saignement digestif ;
331,117,insuffisance hépatique ou insuffisance rénale grave ;
332,117,"maladie inflammatoire de l'intestin (maladie de Crohn, rectocolite hémorragique) ;"
333,117,insuffisance cardiaque grave ;
334,117,hypertension artérielle non contrôlée par un traitement ;
335,117,"maladie des artères coronaires (insuffisance coronarienne), artérite, antécédent d'accident vasculaire cérébral ;"
336,117,enfant de moins de 16 ans ;
337,117,grossesse ;
338,117,allaitement.
339,118,antécédent d'allergie ou d'asthme provoqué par la prise d'AINS y compris l'aspirine ;
340,118,ulcère de l'estomac en évolution ou saignement digestif ;
341,118,insuffisance hépatique ou insuffisance rénale grave ;
342,118,"maladie inflammatoire de l'intestin (maladie de Crohn, rectocolite hémorragique) ;"
343,118,insuffisance cardiaque grave ;
344,118,hypertension artérielle non contrôlée par un traitement ;
345,118,"maladie des artères coronaires (insuffisance coronarienne), artérite, antécédent d'accident vasculaire cérébral ;"
346,118,enfant de moins de 16 ans ;
347,118,grossesse ;
348,118,allaitement.
349,123,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral...) ou veineux (phlébite, embolie pulmonaire...) ancien ou survenant au cours de la contraception ;"
350,123,"maladies augmentant le risque de thrombose (diabète avec lésions vasculaires, hypertension artérielle grave, excès important de lipides dans le sang) ;"
351,123,trouble connu de la coagulation sanguine (déficit en protéine C ou en protéine S...) ;
352,123,pancréatite associée à un excès important de triglycérides dans le sang ;
353,123,antécédent de migraine grave accompagnée de signes neurologiques (paralysie...) ;
354,123,cancer hormonodépendant ;
355,123,"maladie du foie, grave ou récente, y compris tumeur du foie ;"
356,123,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement) ;
357,123,"en association avec les produits contenant du millepertuis, du dasabuvir ou de l'ombitasvir/paritaprévir."
358,127,"antécédent d'hépatite grave ou de réaction cutanée grave lors de la prise d'un médicament contenant de l'étifoxine,"
359,127,"insuffisance hépatique grave,"
360,127,"insuffisance rénale grave,"
361,127,myasthénie.
362,128,"accident tromboembolique (phlébite, embolie pulmonaire...) ancien ou en cours ;"
363,128,"maladie cardiovasculaire (angine de poitrine, hypertension artérielle, lésion des valves cardiaques, anomalie de la circulation sanguine cérébrale ou rétinienne) ;"
364,128,"cancer hormonodépendant (même guéri), tumeur de l'hypophyse ;"
365,128,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens appropriés avant la mise en route du traitement) ;
366,128,maladie du foie grave ou récente ;
367,128,"certaines maladies rares (connectivite, porphyrie, otosclérose) ;"
368,128,grossesse.
369,128,"Dans d'autres situations, votre médecin est seul juge pour prescrire ce médicament, notamment en cas d'insuffisance rénale, de diabète, d'obésité, d'affections bénignes du sein et de l'utérus, d'excès de cholestérol ou de triglycérides, d'allaitement, de jaunisse avec ou sans démangeaisons survenue lors d'une grossesse."
370,129,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral...) ou veineux (phlébite, embolie pulmonaire...) ancien ou survenant au cours de la contraception ;"
371,129,"maladies augmentant le risque de thrombose (diabète avec lésions vasculaires, hypertension artérielle grave, excès important de lipides dans le sang) ;"
372,129,trouble connu de la coagulation sanguine (déficit en protéine C ou en protéine S...) ;
373,129,pancréatite associée à un excès important de triglycérides dans le sang ;
374,129,antécédent de migraine grave accompagnée de signes neurologiques (paralysie...) ;
375,129,cancer hormonodépendant ;
376,129,"maladie du foie, grave ou récente, y compris tumeur du foie ;"
377,129,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement) ;
378,129,"en association avec les produits contenant du millepertuis, du dasabuvir ou de l'ombitasvir/paritaprévir."
379,130,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral) ou veineux (phlébite, embolie pulmonaire) ancien ou survenant au cours de la contraception ;"
380,130,"maladies augmentant le risque de thrombose (diabète avec lésions vasculaires, hypertension artérielle grave, excès important de lipides dans le sang) ;"
381,130,trouble connu de la coagulation sanguine (déficit en protéine C ou en protéine S...) ;
382,130,antécédent de migraine grave accompagnée de signes neurologiques (paralysie...) ;
383,130,"maladie du foie, grave ou récente, y compris tumeur du foie ;"
384,130,cancer hormonodépendant ;
385,130,insuffisance rénale aiguë ou grave ;
386,130,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement) ;
387,130,en association avec les produits contenant du millepertuis ou avec les associations glécaprévir/pibrentasvir ou sofosbuvir/velpatasvir/voxilaprévir.
388,132,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral...) ou veineux (phlébite, embolie pulmonaire...) ancien ou survenant au cours de la contraception ;"
389,132,"maladies augmentant le risque de thrombose (diabète avec lésions vasculaires, hypertension artérielle grave, excès important de lipides dans le sang) ;"
390,132,trouble connu de la coagulation sanguine (déficit en protéine C ou en protéine S...) ;
391,132,antécédent de migraine grave accompagnée de signes neurologiques (paralysie...) ;
392,132,cancer hormonodépendant ;
393,132,"maladie du foie, grave ou récente, y compris tumeur du foie ;"
394,132,insuffisance rénale aiguë ou grave ;
395,132,"saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement),"
396,132,en association avec les produits contenant du millepertuis ou avec les associations glécaprévir/pibrentasvir ou sofosbuvir/velpatasvir/voxilaprévir.
397,133,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral...) ou veineux (phlébite, embolie pulmonaire...) ancien ou survenant au cours de la contraception ;"
398,133,"maladies augmentant le risque de thrombose (diabète avec lésions vasculaires, hypertension artérielle grave, excès important de lipides dans le sang) ;"
399,133,trouble connu de la coagulation sanguine (déficit en protéine C ou en protéine S...) ;
400,133,antécédent de migraine grave accompagnée de signes neurologiques (paralysie...) ;
401,133,cancer hormonodépendant ;
402,133,"maladie du foie, grave ou récente, y compris tumeur du foie ;"
403,133,insuffisance rénale aiguë ou grave ;
404,133,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement) ;
405,133,"en association avec les produits contenant du millepertuis, du dasabuvir ou de l'ombitasvir/paritaprévir."
406,134,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral...) ou veineux (phlébite, embolie pulmonaire...) ancien ou survenant au cours de la contraception ;"
407,134,"maladies augmentant le risque de thrombose (diabète avec lésions vasculaires, hypertension artérielle grave, excès important de lipides dans le sang) ;"
408,134,trouble connu de la coagulation sanguine (déficit en protéine C ou en protéine S...) ;
409,134,antécédent de migraine grave accompagnée de signes neurologiques (paralysie...) ;
410,134,cancer hormonodépendant ;
411,134,"maladie du foie, grave ou récente, y compris tumeur du foie ;"
412,134,insuffisance rénale aiguë ou grave ;
413,134,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement) ;
414,134,"en association avec les produits contenant du millepertuis, du dasabuvir ou de l'ombitasvir/paritaprévir."
415,135,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral...) ou veineux (phlébite, embolie pulmonaire...) ancien ou survenant au cours de la contraception ;"
416,135,"maladies augmentant le risque de thrombose (diabète avec lésions vasculaires, hypertension artérielle grave, excès important de lipides dans le sang) ;"
417,135,trouble connu de la coagulation sanguine (déficit en protéine C ou en protéine S...) ;
418,135,antécédent de migraine grave accompagnée de signes neurologiques (paralysie...) ;
419,135,cancer hormonodépendant ;
420,135,"maladie du foie, grave ou récente, y compris tumeur du foie ;"
421,135,insuffisance rénale aiguë ou grave ;
